english,chinese
"SEOUL, South Korea — It read like typical North Korean propaganda: soldiers toiling on snowy hills near the border with China, racing to finish construction on a tourist resort and making great sacrifices for the glory of the state.",韩国首尔——这篇报道读起来就像是典型的朝鲜宣传：士兵们在中朝边境附近的雪山上辛勤劳动，为完成一个旅游胜地的建设争分夺秒，为国家荣誉做出了巨大牺牲。
"But the report in March in a North Korean state newspaper also revealed the economic dysfunction under Kim Jong Un, the North Korean leader. Workers building up the city of Samjiyon, one of Kim’s marquee projects, were “breaking the frozen ground with hammers and chisels and carrying earth with stretchers and gunny sacks,” the report said.",但朝鲜一家官方报纸今年3月的这篇报道，也揭示出朝鲜领导人金正恩领导下的经济失调。报道称，参加三池渊建设的工人们正在“用锤子和凿子砸开冻土，用担架和麻袋运土”。三池渊是金正恩的重点项目之一。
"The report, in the newspaper Rodong Sinmun, the mouthpiece of the government, followed South Korean media reports of cases of pneumonia and frostbite in Samjiyon. Together they suggest that U.S.-led sanctions over North Korea’s nuclear weapons program are hurting Kim in a way they haven’t before: by targeting the state-run economy and the party and military elite who support his totalitarian rule.",政府喉舌《劳动新闻》的这篇报道是在韩国媒体报道了三池渊发生肺炎和冻伤病例后刊发的。把这些报道放在一起可看出，以美国为首的针对朝鲜核武器计划的制裁，通过把目标对准国有经济以及支持金正恩极权统治的党和军方精英，给金正恩带来了前所未有的烦恼。
"In that context, North Korea’s test of a “guided tactical weapon” on Thursday might be both a sign of his frustration and a warning to Washington that there will be no progress on nuclear disarmament unless the sanctions are eased.",朝鲜周四“战术制导武器”试验凸显了这一点，专家们认为这是对华盛顿有关制裁的警告。
"For years, the North Korean state has produced coal, iron ore, seafood and textiles for export, mostly to its ally China. Kim and top officials have used this export revenue, as well as the earnings of North Korean workers abroad, to finance nuclear weapons, large projects like Samjiyon and their own privileged lifestyles.",多年来，朝鲜一直把煤炭、铁矿石、海鲜和纺织品等产品用于出口，主要是出口到其盟友中国。金正恩和高级官员利用这些出口收入，以及朝鲜海外工人的收入，为三池渊这样的大型项目以及他们自己的特权生活方式提供资金。
"Previous international sanctions aimed to prevent North Korea from acquiring weapons parts and technology. But the newer ones, imposed in the past few years, ban those lucrative exports, depriving Kim’s regime of its main source of income.",此前的国际制裁以阻止朝鲜获得武器零部件和技术为目的。但过去几年实施的新制裁禁止了这些利润丰厚的出口产品，剥夺了金正恩政权的主要收入来源。
"As a result, party officials, soldiers and police officers who make a living off the state are feeling the effects more sharply than ordinary people who have already learned to fend for themselves through hundreds of unofficial markets, according to defectors and economists.",据脱北者和经济学家说，这些新制裁的结果是，靠政府谋生的党员干部、军人和警察感受到的影响，比普通人更剧烈，因为普通人已学会了通过数百个非官方市场自谋生路。
"“Hardest hit by sanctions are those 20-30% of the population who stay on the government’s socialist payroll and rations,” said Jiro Ishimaru, a Japanese journalist who monitors North Korea with the help of correspondents there. “Enterprising North Koreans can make as much in a day selling vegetables in the market as many military officers can make a month in official wages.”",“受制裁打击最严重的，是那些仍在政府领取社会主义工资和配给的20%至30%的人口，”日本记者石丸次郎(Jiro Ishimaru)说，他在当地通讯员的帮助下跟踪朝鲜的情况。“有创业精神的朝鲜人一天在市场上卖菜赚的钱，和许多军官一个月的官方工资一样多。”
"Five rounds of sanctions have been imposed by the United Nations Security Council since early 2016, when North Korea conducted its fourth nuclear test. At the time, China and others argued that the sanctions would disproportionately affect ordinary North Koreans and could backfire.",自2016年初朝鲜进行第四次核试验以来，联合国安全理事会已实施了五轮制裁。当时，中国及其他方面曾声称，这些制裁会集中影响普通朝鲜百姓的生活，可能会事与愿违。
"Instead, the sanctions seem to be having an effect, with Chinese imports from North Korea falling 88% last year. U.S. officials have said that in February, when Kim and President Donald Trump went to Vietnam for their second summit meeting, North Korea asked the United States to lift these last five rounds of sanctions. North Korean officials have said they sought to lift only the sanctions affecting the civilian economy. The two leaders ended the meeting without an agreement, and negotiations have stalled since then.",相反，随着中国从朝鲜的进口去年下降88%，这些制裁似乎正在起作用。美国官员曾表示，当金正恩与特朗普总统2月份前往越南举行第二次峰会时，朝鲜要求美国取消最近五轮的制裁。朝鲜官员曾表示，他们只寻求取消影响民营经济的制裁。两位领导人未达成协议便终止了会谈，谈判自此陷于停顿。
